index,syst,chain,tm1,tm2,min,max,pdb
 241,1ddv_B_A-B_0,A,0.174,0.276,0.174,0.276,1ddv
 242,3dri_B_A-B_0,A,0.390,0.189,0.189,0.390,3dri
 243,3ifo_P_H-L-P_0,L,0.741,0.724,0.724,0.741,3ifo
 244,3ifo_P_H-L-P_0,H,0.660,0.650,0.650,0.660,3ifo
 245,3nfl_G_B-C-F-G_5,C,0.169,0.313,0.169,0.313,3nfl
 246,4bjt_E_B-E_2,B,0.217,0.272,0.217,0.272,4bjt
 247,3nil_X_D-X_2,D,0.162,0.289,0.162,0.289,3nil
 248,4j47_B_A-B_0,A,0.161,0.300,0.161,0.300,4j47
 249,3nih_B_A-B_0,A,0.169,0.338,0.169,0.338,3nih
 250,4iim_E_A-B-C-D-E_0,B,0.130,0.318,0.130,0.318,4iim
 251,1oby_Q_A-B-P-Q_0,A,0.183,0.365,0.183,0.365,1oby
 252,1oby_Q_A-B-P-Q_0,B,0.178,0.356,0.178,0.356,1oby
 253,4x2h_C_A-B-C_0,A,0.243,0.259,0.243,0.259,4x2h
 254,4odk_C_A-B-C_0,A,0.227,0.284,0.227,0.284,4odk
 255,3l81_B_A-B_0,A,0.317,0.282,0.282,0.317,3l81
 256,4k3o_E_A-B-E_0,A,0.274,0.190,0.190,0.274,4k3o
 257,4pz3_C_A-B-C_0,B,0.245,0.316,0.245,0.316,4pz3
 258,1b9j_B_A-B_0,A,0.351,0.183,0.183,0.351,1b9j
 259,6ew9_P_A-B-C-P-Q-R_0,A,0.307,0.238,0.238,0.307,6ew9
 260,4b8o_C_A-B-C_0,A,0.262,0.158,0.158,0.262,4b8o
 261,4fii_B_A-B_0,A,0.230,0.186,0.186,0.230,4fii
 262,5gu4_C_A-C_0,A,0.288,0.253,0.253,0.288,5gu4
 263,1kyf_P_A-P_0,A,0.399,0.357,0.357,0.399,1kyf
 264,4f74_C_A-B-C_0,A,0.172,0.291,0.172,0.291,4f74
 265,4f74_C_A-B-C_0,B,0.171,0.286,0.171,0.286,4f74
 266,4o4y_A_A-H-L_0,L,0.932,0.904,0.904,0.932,4o4y
 267,4o4y_A_A-H-L_0,H,0.538,0.533,0.533,0.538,4o4y
 268,5k4f_C_A-C_0,A,0.192,0.349,0.192,0.349,5k4f
 269,3t64_F_A-B-C-F_0,A,0.267,0.334,0.267,0.334,3t64
 270,3t64_F_A-B-C-F_0,B,0.269,0.367,0.269,0.367,3t64
 271,2hpl_B_A-B_0,A,0.188,0.321,0.188,0.321,2hpl
 272,5fpk_C_A-C_0,A,0.258,0.247,0.247,0.258,5fpk
 273,1sts_P_B-D-M-P_0,D,0.263,0.385,0.263,0.385,1sts
 274,1sts_P_B-D-M-P_0,A,0.264,0.381,0.264,0.381,1sts
 275,4xal_B_A-B_0,A,0.204,0.367,0.204,0.367,4xal
 276,1gyb_E_A-B-E-F_0,A,0.209,0.295,0.209,0.295,1gyb
 277,1gyb_E_A-B-E-F_0,B,0.206,0.289,0.206,0.289,1gyb
 278,4xi7_C_A-C_0,A,0.257,0.179,0.179,0.257,4xi7
 279,5ovv_B_A-B_0,A,0.162,0.268,0.162,0.268,5ovv
 280,4z88_V_J-V_1,J,0.147,0.310,0.147,0.310,4z88
 281,4jmy_E_A-C-E_0,A,0.212,0.234,0.212,0.234,4jmy
 282,2v1r_R_A-Q-R_0,A,0.134,0.294,0.134,0.294,2v1r
 283,4j8b_B_A-B_0,A,0.240,0.189,0.189,0.240,4j8b
 284,3ny3_B_A-B_0,A,0.151,0.312,0.151,0.312,3ny3
 285,3wor_C_A-B-C-D_0,A,0.305,0.124,0.124,0.305,3wor
 286,4kg9_B_A-B_0,A,0.289,0.403,0.289,0.403,4kg9
 287,5iz2_Z_A-B-Z_0,B,0.254,0.369,0.254,0.369,5iz2
 288,5uw3_E_A-E_0,A,0.336,0.139,0.139,0.336,5uw3
 289,3oqs_B_A-B_0,A,0.256,0.152,0.152,0.256,3oqs
 290,5fgb_G_B-E-G_1,E,0.496,0.494,0.494,0.496,5fgb
 291,5fgb_G_B-E-G_1,B,1.000,1.000,1.000,1.000,5fgb
 292,5lyn_C_A-B-C-D_0,A,0.194,0.270,0.194,0.270,5lyn
 293,5lyn_C_A-B-C-D_0,B,0.201,0.277,0.201,0.277,5lyn
 294,5iza_B_A-B_0,A,0.239,0.175,0.175,0.239,5iza
 295,4z0u_D_A-D_0,A,0.233,0.298,0.233,0.298,4z0u
 296,1wcy_C_A-B-C-D_0,A,0.332,0.132,0.132,0.332,1wcy
 297,5wir_D_A-B-C-D_0,B,0.201,0.205,0.201,0.205,5wir
 298,3njj_B_A-B_0,A,0.292,0.476,0.292,0.476,3njj
 299,2g30_S_A-P-S_0,A,0.376,0.351,0.351,0.376,2g30
 300,1a30_C_A-B-C_0,A,0.176,0.290,0.176,0.290,1a30
 301,1a30_C_A-B-C_0,B,0.173,0.284,0.173,0.284,1a30
 302,3lca_Q_A-Q_0,A,0.271,0.151,0.151,0.271,3lca
 303,2i3h_C_A-C_0,A,0.179,0.329,0.179,0.329,2i3h
 304,5m5v_G_A-E-G-I_0,A,0.295,0.204,0.204,0.295,5m5v
 305,5fox_C_A-C_0,A,0.256,0.248,0.248,0.256,5fox
 306,4ba3_B_A-B_0,A,0.238,0.147,0.147,0.238,4ba3
 307,4ynl_C_A-B-C-D_0,A,0.149,0.320,0.149,0.320,4ynl
 308,4ynl_C_A-B-C-D_0,B,0.132,0.279,0.132,0.279,4ynl
 309,5ovc_B_A-B_0,A,0.176,0.305,0.176,0.305,5ovc
 310,6cwp_F_A-B-F_0,A,0.237,0.184,0.184,0.237,6cwp
 311,6cwp_F_A-B-F_0,B,0.260,0.199,0.199,0.260,6cwp
 312,5eyz_E_A-E_0,A,0.183,0.323,0.183,0.323,5eyz
 313,3qhw_L_A-B-J-L_0,B,0.264,0.229,0.229,0.264,3qhw
 314,3fwv_C_A-C_0,A,0.197,0.285,0.197,0.285,3fwv
 315,3uoa_L_B-C-L-M_0,B,0.342,0.233,0.233,0.342,3uoa
 316,5b74_D_A-B-D_0,B,0.185,0.261,0.185,0.261,5b74
 317,4k3m_E_A-B-E_0,A,0.324,0.219,0.219,0.324,4k3m
 318,3q47_C_B-C_0,B,0.178,0.244,0.178,0.244,3q47
 319,5oav_B_A-B_0,A,0.126,0.320,0.126,0.320,5oav
 320,4ezz_B_A-B_1,A,0.255,0.250,0.250,0.255,4ezz
 321,3fp4_Q_A-Q_0,A,0.244,0.133,0.133,0.244,3fp4
 322,4ikn_B_A-B_0,A,0.290,0.258,0.258,0.290,4ikn
 323,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,D,0.176,0.314,0.176,0.314,1xb0
 324,1xb0_J_A-B-C-D-E-F-G-H-I-J-K-L_0,C,0.176,0.313,0.176,0.313,1xb0
 325,3lny_B_A-B_0,A,0.190,0.327,0.190,0.327,3lny
 326,5sxm_D_B-D_1,B,0.232,0.180,0.180,0.232,5sxm
 327,2fop_B_A-B_0,A,0.289,0.406,0.289,0.406,2fop
 328,2foj_B_A-B_0,A,0.289,0.406,0.289,0.406,2foj
 329,3m5m_C_B-C_1,B,0.202,0.211,0.202,0.211,3m5m
 330,1se0_B_A-B_0,A,0.190,0.325,0.190,0.325,1se0
 331,4dgb_B_A-B_0,A,0.215,0.259,0.215,0.259,4dgb
 332,1b32_B_A-B_0,A,0.355,0.184,0.184,0.355,1b32
 333,2y7l_B_A-B_0,A,0.348,0.250,0.250,0.348,2y7l
 334,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.244,0.172,0.172,0.244,2ot0
 335,4apo_D_B-D_1,B,0.230,0.290,0.230,0.290,4apo
 336,5fov_E_A-E_0,A,0.259,0.248,0.248,0.259,5fov
 337,2r9q_X_A-C-X_1,C,0.344,0.251,0.251,0.344,2r9q
 338,3cbl_B_A-B_0,A,0.303,0.213,0.213,0.303,3cbl
 339,3hds_E_A-D-E_0,D,0.238,0.397,0.238,0.397,3hds
 340,3hds_E_A-D-E_0,A,0.233,0.370,0.233,0.370,3hds
 341,6fqc_E_A-B-D-E_0,A,0.270,0.199,0.199,0.270,6fqc
 342,1str_M_B-D-M-P_0,C,0.265,0.389,0.265,0.389,1str
 343,1str_M_B-D-M-P_0,B,0.266,0.383,0.266,0.383,1str
 344,3zvy_D_B-D_0,B,0.109,0.283,0.109,0.283,3zvy
