index,syst,chain,tm1,tm2,min,max,pdb
 260,4sga_P_E-P_0,E,0.320,0.245,0.245,0.320,4sga
 261,4jor_D_B-D_1,B,0.267,0.332,0.267,0.332,4jor
 262,3njj_B_A-B_0,A,0.286,0.304,0.286,0.304,3njj
 263,1b4z_B_A-B_0,A,0.341,0.126,0.126,0.341,1b4z
 264,3q49_C_B-C_0,B,0.276,0.261,0.261,0.276,3q49
 265,4jmy_E_A-C-E_0,A,0.334,0.260,0.260,0.334,4jmy
 266,5m5v_G_A-E-G-I_0,A,0.384,0.153,0.153,0.384,5m5v
 267,2f5b_P_H-L-P_0,L,0.287,0.191,0.191,0.287,2f5b
 268,2f5b_P_H-L-P_0,H,0.272,0.179,0.179,0.272,2f5b
 269,5grg_D_A-B-C-D_0,A,0.438,0.232,0.232,0.438,5grg
 270,1b5j_B_A-B_0,A,0.334,0.123,0.123,0.334,1b5j
 271,5fjz_P_A-B-C-D-P-Q-R-S_0,A,0.337,0.190,0.190,0.337,5fjz
 272,5fjz_P_A-B-C-D-P-Q-R-S_0,C,0.337,0.190,0.190,0.337,5fjz
 273,5kzt_C_A-C_0,A,0.307,0.107,0.107,0.307,5kzt
 274,4ezq_B_A-B_1,A,0.364,0.241,0.241,0.364,4ezq
 275,3nik_X_D-X_2,D,0.280,0.358,0.280,0.358,3nik
 276,1b5i_B_A-B_0,A,0.352,0.125,0.125,0.352,1b5i
 277,2h9m_D_C-D_1,C,0.347,0.165,0.165,0.347,2h9m
 278,1evh_B_A-B_0,A,0.297,0.315,0.297,0.315,1evh
 279,1uop_B_A-B_0,A,0.367,0.089,0.089,0.367,1uop
 280,2d5w_C_A-C_0,A,0.341,0.106,0.106,0.341,2d5w
 281,5b74_D_A-B-D_0,B,0.269,0.262,0.262,0.269,5b74
 282,1b58_B_A-B_0,A,0.360,0.126,0.126,0.360,1b58
 283,5oj5_B_A-B_0,A,0.319,0.166,0.166,0.319,5oj5
 284,2v5f_X_A-X_0,A,0.279,0.329,0.279,0.329,2v5f
 285,4ezz_B_A-B_1,A,0.366,0.240,0.240,0.366,4ezz
 286,4x2h_C_A-B-C_0,A,0.833,0.551,0.551,0.833,4x2h
 287,4j86_C_A-C_0,A,0.354,0.164,0.164,0.354,4j86
 288,4apo_D_B-D_1,B,0.263,0.223,0.223,0.263,4apo
 289,3wor_C_A-B-C-D_0,A,0.380,0.095,0.095,0.380,3wor
 290,1lvm_C_A-C-E_0,A,0.363,0.227,0.227,0.363,1lvm
 291,4ztd_F_A-B-C-D-E-F_0,C,0.326,0.194,0.194,0.326,4ztd
 292,5ovv_B_A-B_0,A,0.267,0.307,0.267,0.307,5ovv
 293,4q6f_H_C-H_2,C,0.192,0.292,0.192,0.292,4q6f
 294,4qbr_P_A-P_0,A,0.257,0.241,0.241,0.257,4qbr
 295,6ew9_P_A-B-C-P-Q-R_0,A,0.338,0.172,0.172,0.338,6ew9
 296,1awr_J_D-J_5,D,0.315,0.260,0.260,0.315,1awr
 297,4od7_E_C-E_2,C,0.301,0.227,0.227,0.301,4od7
 298,4j84_D_B-D_1,B,0.351,0.173,0.173,0.351,4j84
 299,5m5u_G_A-E-G_0,A,0.385,0.153,0.153,0.385,5m5u
 300,1b51_B_A-B_0,A,0.316,0.106,0.106,0.316,1b51
