index,syst,chain,tm1,tm2,min,max,pdb
 161,3soq_Z_A-Z_0,A,0.305,0.168,0.168,0.305,3soq
 162,2dze_X_A-B-X_0,A,0.281,0.250,0.250,0.281,2dze
 163,2dze_X_A-B-X_0,B,0.306,0.267,0.267,0.306,2dze
 164,2hl3_C_A-B-C_0,A,0.200,0.284,0.200,0.284,2hl3
 165,2hl3_C_A-B-C_0,B,0.180,0.259,0.180,0.259,2hl3
 166,4mvk_B_A-B_0,A,0.321,0.268,0.268,0.321,4mvk
 167,3gv4_H_A-H_0,A,0.346,0.414,0.346,0.414,3gv4
 168,1jwg_D_B-D_1,B,0.321,0.306,0.306,0.321,1jwg
 169,1d00_I_A-I_0,A,0.365,0.305,0.305,0.365,1d00
 170,1oby_Q_A-B-P-Q_0,A,0.228,0.308,0.228,0.308,1oby
 171,1oby_Q_A-B-P-Q_0,B,0.236,0.333,0.236,0.333,1oby
 172,4j47_B_A-B_0,A,0.274,0.364,0.274,0.364,4j47
 173,4ztd_F_A-B-C-D-E-F_0,C,0.348,0.214,0.214,0.348,4ztd
 174,3dri_B_A-B_0,A,0.363,0.126,0.126,0.363,3dri
 175,6eja_B_A-B_0,A,0.352,0.095,0.095,0.352,6eja
 176,3oqs_B_A-B_0,A,0.306,0.128,0.128,0.306,3oqs
 177,4j81_C_B-C_1,B,0.347,0.193,0.193,0.347,4j81
 178,3l81_B_A-B_0,A,0.333,0.211,0.211,0.333,3l81
 179,1se0_B_A-B_0,A,0.272,0.325,0.272,0.325,1se0
 180,5iza_B_A-B_0,A,0.317,0.157,0.157,0.317,5iza
 181,5jjm_G_A-G-M_0,A,0.455,0.277,0.277,0.455,5jjm
 182,4f74_C_A-B-C_0,A,0.274,0.329,0.274,0.329,4f74
 183,4f74_C_A-B-C_0,B,0.273,0.328,0.273,0.328,4f74
 184,1svz_C_A-B-C-D_0,A,0.319,0.210,0.210,0.319,1svz
 185,1b3g_B_A-B_0,A,0.374,0.132,0.132,0.374,1b3g
 186,3jrv_D_B-D_1,B,0.330,0.310,0.310,0.330,3jrv
 187,4fii_B_A-B_0,A,0.499,0.261,0.261,0.499,4fii
 188,3fp2_Q_A-Q_0,A,0.349,0.120,0.120,0.349,3fp2
 189,3cww_E_A-B-D-E_0,A,0.403,0.079,0.079,0.403,3cww
 190,3hds_E_A-D-E_0,D,0.301,0.338,0.301,0.338,3hds
 191,3hds_E_A-D-E_0,A,0.303,0.329,0.303,0.329,3hds
 192,4ikn_B_A-B_0,A,0.351,0.228,0.228,0.351,4ikn
 193,4q6f_H_C-H_2,C,0.176,0.313,0.176,0.313,4q6f
 194,2zgh_B_A-B_0,A,0.307,0.209,0.209,0.307,2zgh
 195,4gyo_C_A-B-C-D_0,B,0.368,0.187,0.187,0.368,4gyo
 196,4j82_C_A-C_0,A,0.348,0.194,0.194,0.348,4j82
 197,2h2f_B_A-B_0,A,0.322,0.217,0.217,0.322,2h2f
 198,2g30_S_A-P-S_0,A,0.315,0.215,0.215,0.315,2g30
 199,4jor_D_B-D_1,B,0.253,0.341,0.253,0.341,4jor
 200,5huy_B_A-B-C_0,C,0.339,0.133,0.133,0.339,5huy
 201,4v3i_B_A-B_0,A,0.387,0.341,0.341,0.387,4v3i
 202,3drj_B_A-B_0,A,0.360,0.126,0.126,0.360,3drj
 203,3lny_B_A-B_0,A,0.290,0.364,0.290,0.364,3lny
 204,3f7o_X_A-X_0,A,0.333,0.190,0.190,0.333,3f7o
 205,4x2h_C_A-B-C_0,A,0.328,0.250,0.250,0.328,4x2h
 206,1kyf_P_A-P_0,A,0.295,0.193,0.193,0.295,1kyf
 207,5huw_B_A-B-C_0,C,0.338,0.132,0.132,0.338,5huw
 208,4j09_B_A-B_0,A,0.323,0.198,0.198,0.323,4j09
 209,4j09_B_A-B_0,C,0.323,0.198,0.198,0.323,4j09
 210,1kl5_F_A-B-C-D-E-F-G-H_0,C,0.318,0.337,0.318,0.337,1kl5
 211,1kl5_F_A-B-C-D-E-F-G-H_0,B,0.318,0.337,0.318,0.337,1kl5
 212,2zjd_D_C-D_5,C,0.364,0.381,0.364,0.381,2zjd
 213,2v17_A_A-H-L_0,L,0.335,0.233,0.233,0.335,2v17
 214,2v17_A_A-H-L_0,H,0.298,0.212,0.212,0.298,2v17
 215,5grg_D_A-B-C-D_0,A,0.366,0.218,0.218,0.366,5grg
 216,4j8b_B_A-B_0,A,0.334,0.186,0.186,0.334,4j8b
 217,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.282,0.372,0.282,0.372,2y1l
 218,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.351,0.323,0.323,0.351,2y1l
 219,4o4y_A_A-H-L_0,L,0.327,0.228,0.228,0.327,4o4y
 220,4o4y_A_A-H-L_0,H,0.336,0.235,0.235,0.336,4o4y
 221,3psl_D_B-D_1,B,0.365,0.200,0.200,0.365,3psl
 222,1kyd_P_A-P_0,A,0.290,0.186,0.186,0.290,1kyd
 223,5m5v_G_A-E-G-I_0,A,0.308,0.151,0.151,0.308,5m5v
 224,1b5j_B_A-B_0,A,0.373,0.133,0.133,0.373,1b5j
 225,2foj_B_A-B_0,A,0.312,0.302,0.302,0.312,2foj
 226,4k3r_E_A-B-E_0,A,0.356,0.162,0.162,0.356,4k3r
 227,4ezz_B_A-B_1,A,0.333,0.226,0.226,0.333,4ezz
 228,4gne_B_A-B_0,A,0.251,0.301,0.251,0.301,4gne
 229,1elr_B_A-B_0,A,0.312,0.317,0.312,0.317,1elr
 230,4bjt_E_B-E_2,B,0.284,0.257,0.257,0.284,4bjt
 231,5t6p_E_C-D-E_1,D,0.316,0.233,0.233,0.316,5t6p
 232,5t6p_E_C-D-E_1,C,0.321,0.228,0.228,0.321,5t6p
 233,6cdc_C_A-C_0,A,0.326,0.280,0.280,0.326,6cdc
 234,1u9l_C_B-C_1,B,0.244,0.409,0.244,0.409,1u9l
 235,2nph_S_A-B-S-T_0,A,0.273,0.327,0.273,0.327,2nph
 236,2nph_S_A-B-S-T_0,B,0.272,0.325,0.272,0.325,2nph
 237,4j78_B_A-B_0,A,0.328,0.184,0.184,0.328,4j78
 238,6exj_B_A-B_0,A,0.257,0.340,0.257,0.340,6exj
 239,3cbl_B_A-B_0,A,0.463,0.207,0.207,0.463,3cbl
 240,1b51_B_A-B_0,A,0.380,0.133,0.133,0.380,1b51
 241,5e6o_E_B-E_1,B,0.338,0.366,0.338,0.366,5e6o
 242,5fpk_C_A-C_0,A,0.358,0.231,0.231,0.358,5fpk
 243,5lb7_C_A-B-C_0,A,0.304,0.262,0.262,0.304,5lb7
 244,5lb7_C_A-B-C_0,B,0.351,0.494,0.351,0.494,5lb7
 245,1b05_B_A-B_0,A,0.359,0.132,0.132,0.359,1b05
 246,3hda_Z_P-Z_0,P,0.375,0.169,0.169,0.375,3hda
 247,4j77_D_B-D_1,B,0.344,0.193,0.193,0.344,4j77
 248,3d9t_D_B-D_1,B,0.300,0.365,0.300,0.365,3d9t
 249,1sem_C_A-B-C-D_0,A,0.174,0.302,0.174,0.302,1sem
 250,6fkp_G_C-G_2,C,0.176,0.301,0.176,0.301,6fkp
 251,4iim_E_A-B-C-D-E_0,B,0.156,0.304,0.156,0.304,4iim
 252,4faf_D_A-B-D_0,A,0.274,0.330,0.274,0.330,4faf
 253,4faf_D_A-B-D_0,B,0.277,0.333,0.277,0.333,4faf
 254,4o51_N_A-B-N_1,A,0.341,0.239,0.239,0.341,4o51
 255,4o51_N_A-B-N_1,B,0.308,0.222,0.222,0.308,4o51
 256,4k3m_E_A-B-E_0,A,0.346,0.160,0.160,0.346,4k3m
 257,3vqg_B_A-B_0,A,0.239,0.308,0.239,0.308,3vqg
 258,5sxm_D_B-D_1,B,0.358,0.197,0.197,0.358,5sxm
 259,4xal_B_A-B_0,A,0.286,0.390,0.286,0.390,4xal
 260,5kzt_C_A-C_0,A,0.362,0.137,0.137,0.362,5kzt
 261,2orz_B_A-B_0,A,0.327,0.177,0.177,0.327,2orz
 262,1d0a_G_A-B-C-G-H-I_0,A,0.366,0.306,0.306,0.366,1d0a
 263,4b8o_C_A-B-C_0,A,0.377,0.147,0.147,0.377,4b8o
 264,2foo_B_A-B_0,A,0.317,0.307,0.307,0.317,2foo
 265,3m5n_F_B-F_1,B,0.306,0.228,0.228,0.306,3m5n
 266,1w9e_S_A-B-R-S-T_0,B,0.242,0.209,0.209,0.242,1w9e
 267,4sga_P_E-P_0,E,0.303,0.246,0.246,0.303,4sga
 268,1h27_E_A-B-E_0,B,0.369,0.232,0.232,0.369,1h27
 269,1b4z_B_A-B_0,A,0.361,0.130,0.130,0.361,1b4z
 270,1b3l_B_A-B_0,A,0.364,0.138,0.138,0.364,1b3l
 271,3rt9_B_A-B_0,F,0.310,0.119,0.119,0.310,3rt9
 272,3rt9_B_A-B_0,A,0.310,0.119,0.119,0.310,3rt9
 273,2i3h_C_A-C_0,A,0.290,0.364,0.290,0.364,2i3h
 274,4b3b_C_A-C_0,A,0.365,0.236,0.236,0.365,4b3b
 275,4pz3_C_A-B-C_0,B,0.296,0.269,0.269,0.296,4pz3
 276,3g19_C_A-C_0,A,0.257,0.353,0.257,0.353,3g19
 277,3rc4_B_A-B_0,A,0.302,0.226,0.226,0.302,3rc4
 278,4ynl_C_A-B-C-D_0,A,0.264,0.377,0.264,0.377,4ynl
 279,4ynl_C_A-B-C-D_0,B,0.261,0.388,0.261,0.388,4ynl
 280,3wor_C_A-B-C-D_0,A,0.355,0.093,0.093,0.355,3wor
 281,1v1t_S_A-B-S-T_0,B,0.245,0.213,0.213,0.245,1v1t
 282,1ghb_P_E-F-G-P_0,F,0.300,0.300,0.300,0.300,1ghb
 283,1ghb_P_E-F-G-P_0,G,0.252,0.302,0.252,0.302,1ghb
 284,1ghb_P_E-F-G-P_0,C,0.252,0.302,0.252,0.302,1ghb
 285,1ghb_P_E-F-G-P_0,B,0.300,0.300,0.300,0.300,1ghb
 286,6cdg_B_A-B_0,A,0.315,0.272,0.272,0.315,6cdg
 287,1uop_B_A-B_0,A,0.358,0.092,0.092,0.358,1uop
 288,4ba3_B_A-B_0,A,0.335,0.131,0.131,0.335,4ba3
 289,6cd9_B_A-B_0,A,0.304,0.263,0.263,0.304,6cd9
 290,3nfk_D_A-B-C-D_2,B,0.285,0.362,0.285,0.362,3nfk
 291,6fqc_E_A-B-D-E_0,A,0.351,0.179,0.179,0.351,6fqc
 292,4zhb_B_A-B_0,A,0.235,0.277,0.235,0.277,4zhb
 293,3uoa_L_B-C-L-M_0,B,0.338,0.167,0.167,0.338,3uoa
 294,3ziq_B_A-B-C_0,A,0.334,0.131,0.131,0.334,3ziq
 295,1b9j_B_A-B_0,A,0.354,0.124,0.124,0.354,1b9j
 296,3m5o_C_A-C_0,A,0.300,0.226,0.226,0.300,3m5o
 297,3sjk_B_A-B_0,A,0.294,0.238,0.238,0.294,3sjk
 298,4z88_V_J-V_1,J,0.191,0.282,0.191,0.282,4z88
 299,4j44_B_A-B_0,A,0.287,0.376,0.287,0.376,4j44
 300,3cvl_B_A-B_0,A,0.355,0.203,0.203,0.355,3cvl
 301,5wun_C_A-B-C_0,A,0.336,0.131,0.131,0.336,5wun
 302,1tw6_C_A-B-C-D_2,F,0.291,0.353,0.291,0.353,1tw6
 303,1tw6_C_A-B-C-D_2,A,0.289,0.362,0.289,0.362,1tw6
 304,5d9g_C_A-C_0,A,0.296,0.192,0.192,0.296,5d9g
 305,4es0_C_A-C_0,A,0.344,0.191,0.191,0.344,4es0
 306,3ivq_D_B-D_1,B,0.324,0.313,0.313,0.324,3ivq
 307,2bgr_Y_A-B-Y-Z_0,A,0.404,0.096,0.096,0.404,2bgr
 308,3woo_C_A-B-C-D_0,A,0.363,0.102,0.102,0.363,3woo
 309,4tr9_J_A-B-C-D-E-G-H-I-J-K_0,C,0.335,0.175,0.175,0.335,4tr9
 310,2hpl_B_A-B_0,A,0.321,0.390,0.321,0.390,2hpl
 311,4pxm_D_A-B-C-D_0,B,0.387,0.263,0.263,0.387,4pxm
 312,4jwd_C_B-C_1,B,0.338,0.232,0.232,0.338,4jwd
 313,1b32_B_A-B_0,A,0.355,0.123,0.123,0.355,1b32
 314,3f6k_N_A-N_0,A,0.321,0.092,0.092,0.321,3f6k
 315,3nim_X_F-X_3,F,0.234,0.307,0.234,0.307,3nim
 316,4wvh_C_A-C_0,A,0.344,0.121,0.121,0.344,4wvh
 317,5gu4_C_A-C_0,A,0.361,0.225,0.225,0.361,5gu4
 318,6cwp_F_A-B-F_0,A,0.411,0.225,0.225,0.411,6cwp
 319,6cwp_F_A-B-F_0,B,0.413,0.221,0.221,0.413,6cwp
 320,1sts_P_B-D-M-P_0,D,0.314,0.331,0.314,0.331,1sts
 321,1sts_P_B-D-M-P_0,A,0.311,0.323,0.311,0.323,1sts
 322,3fp4_Q_A-Q_0,A,0.360,0.129,0.129,0.360,3fp4
 323,1b40_B_A-B_0,A,0.359,0.134,0.134,0.359,1b40
 324,3upv_B_A-B_0,A,0.309,0.319,0.309,0.319,3upv
 325,5zw6_C_A-B-C-D_0,A,0.331,0.156,0.156,0.331,5zw6
 326,4jjq_B_A-B_0,A,0.312,0.303,0.303,0.312,4jjq
 327,4qbr_P_A-P_0,A,0.329,0.322,0.322,0.329,4qbr
 328,4j46_B_A-B_0,A,0.287,0.375,0.287,0.375,4j46
 329,4jok_D_B-D_1,B,0.251,0.321,0.251,0.321,4jok
 330,5xup_D_A-B-C-D_0,B,0.374,0.284,0.284,0.374,5xup
 331,4dgb_B_A-B_0,A,0.317,0.277,0.277,0.317,4dgb
 332,4joh_D_A-D_0,A,0.256,0.347,0.256,0.347,4joh
 333,1sua_C_A-C_0,A,0.317,0.193,0.193,0.317,1sua
 334,1awr_J_D-J_5,D,0.309,0.269,0.269,0.309,1awr
 335,4j86_C_A-C_0,A,0.340,0.192,0.192,0.340,4j86
