index,syst,chain,tm1,tm2,min,max,pdb
 176,2b6n_B_A-B_0,A,0.310,0.329,0.310,0.329,2b6n
 177,3s9c_B_A-B_0,A,0.213,0.254,0.213,0.254,3s9c
 178,3soq_Z_A-Z_0,A,0.304,0.302,0.302,0.304,3soq
 179,1b3g_B_A-B_0,A,0.321,0.217,0.217,0.321,1b3g
 180,3tcg_I_A-I_0,A,0.320,0.215,0.215,0.320,3tcg
 181,5yba_B_A-B-C-D_0,A,0.194,0.290,0.194,0.290,5yba
 182,1ddv_B_A-B_0,A,0.144,0.329,0.144,0.329,1ddv
 183,3nim_X_F-X_3,F,0.111,0.269,0.111,0.269,3nim
 184,4hxj_C_A-C_0,A,0.103,0.316,0.103,0.316,4hxj
 185,1qka_B_A-B_0,A,0.320,0.216,0.216,0.320,1qka
 186,4ezq_B_A-B_1,A,0.201,0.263,0.201,0.263,4ezq
 187,1gyb_E_A-B-E-F_0,A,0.174,0.341,0.174,0.341,1gyb
 188,1gyb_E_A-B-E-F_0,B,0.171,0.323,0.171,0.323,1gyb
 189,4o4y_A_A-H-L_0,L,0.210,0.262,0.210,0.262,4o4y
 190,4o4y_A_A-H-L_0,H,0.219,0.278,0.219,0.278,4o4y
 191,1b58_B_A-B_0,A,0.332,0.227,0.227,0.332,1b58
 192,1elr_B_A-B_0,A,0.371,0.818,0.371,0.818,1elr
 193,3zvy_D_B-D_0,B,0.140,0.404,0.140,0.404,3zvy
 194,5fch_C_A-B-C_0,A,0.314,0.256,0.256,0.314,5fch
 195,5fch_C_A-B-C_0,B,0.311,0.255,0.255,0.311,5fch
 196,2wa8_D_C-D_1,C,0.148,0.358,0.148,0.358,2wa8
 197,4r5i_B_A-B_0,A,0.204,0.255,0.204,0.255,4r5i
 198,5m5u_G_A-E-G_0,A,0.314,0.277,0.277,0.314,5m5u
 199,5gu4_C_A-C_0,A,0.291,0.327,0.291,0.327,5gu4
 200,1b05_B_A-B_0,A,0.321,0.217,0.217,0.321,1b05
 201,6cdg_B_A-B_0,A,0.159,0.250,0.159,0.250,6cdg
 202,2ql9_G_A-B-C-D-E-F-G_0,D,0.141,0.336,0.141,0.336,2ql9
 203,2ql9_G_A-B-C-D-E-F-G_0,A,0.186,0.326,0.186,0.326,2ql9
 204,2ql9_G_A-B-C-D-E-F-G_0,C,0.186,0.328,0.186,0.328,2ql9
 205,2ql9_G_A-B-C-D-E-F-G_0,B,0.141,0.335,0.141,0.335,2ql9
 206,3woq_C_A-B-C-D_0,A,0.341,0.180,0.180,0.341,3woq
 207,4rxh_A_A-B-C_0,B,0.385,0.299,0.299,0.385,4rxh
 208,3t70_F_A-B-C-F_0,A,0.180,0.292,0.180,0.292,3t70
 209,3t70_F_A-B-C-F_0,B,0.167,0.297,0.167,0.297,3t70
 210,4qbr_P_A-P_0,A,0.208,0.356,0.208,0.356,4qbr
 211,3q49_C_B-C_0,B,0.375,0.799,0.375,0.799,3q49
 212,1oxn_F_E-F_7,E,0.158,0.358,0.158,0.358,1oxn
 213,3nii_B_A-B_0,A,0.110,0.285,0.110,0.285,3nii
 214,5xup_D_A-B-C-D_0,B,0.274,0.386,0.274,0.386,5xup
 215,3t64_F_A-B-C-F_0,A,0.175,0.283,0.175,0.283,3t64
 216,3t64_F_A-B-C-F_0,B,0.165,0.292,0.165,0.292,3t64
 217,5oav_B_A-B_0,A,0.104,0.328,0.104,0.328,5oav
 218,6cd8_C_A-C_0,A,0.185,0.285,0.185,0.285,6cd8
 219,6cdc_C_A-C_0,A,0.176,0.264,0.176,0.264,6cdc
 220,3psl_D_B-D_1,B,0.319,0.322,0.319,0.322,3psl
 221,2v1r_R_A-Q-R_0,A,0.113,0.309,0.113,0.309,2v1r
 222,1czy_D_A-B-C-D-E_0,A,0.207,0.323,0.207,0.323,1czy
 223,5huy_B_A-B-C_0,C,0.398,0.308,0.308,0.398,5huy
 224,1hsb_C_A-B-C_0,A,0.235,0.252,0.235,0.252,1hsb
 225,2fib_B_A-B_0,A,0.263,0.301,0.263,0.301,2fib
 226,1wcy_C_A-B-C-D_0,A,0.381,0.194,0.194,0.381,1wcy
 227,4ikn_B_A-B_0,A,0.205,0.233,0.205,0.233,4ikn
 228,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.139,0.365,0.139,0.365,2y1l
 229,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.231,0.383,0.231,0.383,2y1l
 230,4od7_E_C-E_2,C,0.211,0.293,0.211,0.293,4od7
 231,5t6p_E_C-D-E_1,D,0.227,0.299,0.227,0.299,5t6p
 232,5t6p_E_C-D-E_1,C,0.200,0.252,0.200,0.252,5t6p
 233,4jop_C_A-C_0,A,0.119,0.288,0.119,0.288,4jop
 234,4j47_B_A-B_0,A,0.117,0.323,0.117,0.323,4j47
 235,2h59_D_A-B-D-E_0,A,0.264,0.302,0.264,0.302,2h59
 236,2h59_D_A-B-D-E_0,B,0.263,0.301,0.263,0.301,2h59
 237,2h2f_B_A-B_0,A,0.272,0.323,0.272,0.323,2h2f
 238,4xi7_C_A-C_0,A,0.308,0.271,0.271,0.308,4xi7
 239,3mmg_C_A-C_0,A,0.228,0.290,0.228,0.290,3mmg
 240,5iz2_Z_A-B-Z_0,B,0.197,0.395,0.197,0.395,5iz2
 241,4j46_B_A-B_0,A,0.117,0.323,0.117,0.323,4j46
 242,3cvl_B_A-B_0,A,0.885,0.907,0.885,0.907,3cvl
 243,4j79_B_A-B_0,A,0.306,0.307,0.306,0.307,4j79
 244,1jwg_D_B-D_1,B,0.241,0.428,0.241,0.428,1jwg
 245,4j09_B_A-B_0,A,0.267,0.295,0.267,0.295,4j09
 246,4j09_B_A-B_0,C,0.267,0.295,0.267,0.295,4j09
 247,1mfl_B_A-B_0,A,0.121,0.244,0.121,0.244,1mfl
 248,1ok7_C_A-B-C_0,B,0.236,0.205,0.205,0.236,1ok7
 249,5xcr_F_D-E-F_1,D,0.205,0.329,0.205,0.329,5xcr
 250,5xcr_F_D-E-F_1,E,0.190,0.294,0.190,0.294,5xcr
 251,2r9q_X_A-C-X_1,C,0.272,0.256,0.256,0.272,2r9q
 252,2v17_A_A-H-L_0,L,0.210,0.268,0.210,0.268,2v17
 253,2v17_A_A-H-L_0,H,0.213,0.261,0.213,0.261,2v17
 254,4c2c_B_A-B-C_0,A,0.317,0.246,0.246,0.317,4c2c
 255,2foo_B_A-B_0,A,0.161,0.271,0.161,0.271,2foo
 256,1evh_B_A-B_0,A,0.152,0.344,0.152,0.344,1evh
 257,5m5t_E_A-E-G-I_0,A,0.307,0.271,0.271,0.307,5m5t
 258,4v3i_B_A-B_0,A,0.271,0.461,0.271,0.461,4v3i
