index,syst,chain,tm1,tm2,min,max,pdb
 278,1b5j_B_A-B_0,A,0.368,0.125,0.125,0.368,1b5j
 279,4mz6_A_A-C-E_0,E,0.269,0.113,0.113,0.269,4mz6
 280,3ebb_F_A-B-E-F_0,B,0.267,0.163,0.163,0.267,3ebb
 281,4r5i_B_A-B_0,A,0.394,0.255,0.255,0.394,4r5i
 282,3tcg_I_A-I_0,A,0.366,0.125,0.125,0.366,3tcg
 283,3dri_B_A-B_0,A,0.343,0.105,0.105,0.343,3dri
 284,3drj_B_A-B_0,A,0.331,0.111,0.111,0.331,3drj
 285,5d9g_C_A-C_0,A,0.439,0.264,0.264,0.439,5d9g
 286,4j81_C_B-C_1,B,0.364,0.184,0.184,0.364,4j81
 287,4gne_B_A-B_0,A,0.276,0.312,0.276,0.312,4gne
 288,2ipu_P_G-K-P_1,G,0.373,0.254,0.254,0.373,2ipu
 289,2ipu_P_G-K-P_1,K,0.389,0.262,0.262,0.389,2ipu
 290,5y53_F_C-E-F_1,C,0.323,0.311,0.311,0.323,5y53
 291,5y53_F_C-E-F_1,E,0.323,0.311,0.311,0.323,5y53
 292,3o2b_D_C-D_1,C,0.232,0.257,0.232,0.257,3o2b
 293,1b58_B_A-B_0,A,0.369,0.125,0.125,0.369,1b58
 294,3nfl_G_B-C-F-G_5,C,0.252,0.316,0.252,0.316,3nfl
 295,3sxu_C_A-B-C_0,A,0.280,0.251,0.251,0.280,3sxu
 296,4nnm_C_A-C_0,A,0.271,0.290,0.271,0.290,4nnm
 297,2v17_A_A-H-L_0,L,0.372,0.257,0.257,0.372,2v17
 298,2v17_A_A-H-L_0,H,0.395,0.269,0.269,0.395,2v17
 299,4f74_C_A-B-C_0,A,0.256,0.297,0.256,0.297,4f74
 300,4f74_C_A-B-C_0,B,0.289,0.334,0.289,0.334,4f74
 301,2ce9_X_A-B-X_0,A,0.370,0.171,0.171,0.370,2ce9
 302,3cvl_B_A-B_0,A,0.285,0.159,0.159,0.285,3cvl
 303,2g30_S_A-P-S_0,A,0.382,0.233,0.233,0.382,2g30
 304,4jmy_E_A-C-E_0,A,0.282,0.219,0.219,0.282,4jmy
 305,1b40_B_A-B_0,A,0.371,0.126,0.126,0.371,1b40
