index,syst,chain,tm1,tm2,min,max,pdb
 175,2h9m_D_C-D_1,C,0.341,0.180,0.180,0.341,2h9m
 176,3fp2_Q_A-Q_0,A,0.296,0.110,0.110,0.296,3fp2
 177,3nik_X_D-X_2,D,0.210,0.266,0.210,0.266,3nik
 178,4xi7_C_A-C_0,A,0.349,0.151,0.151,0.349,4xi7
 179,1olc_B_A-B_0,A,0.367,0.123,0.123,0.367,1olc
 180,1nvs_B_A-B_0,A,0.339,0.203,0.203,0.339,1nvs
 181,5huw_B_A-B-C_0,C,0.253,0.112,0.112,0.253,5huw
 182,1lvm_C_A-C-E_0,A,0.301,0.196,0.196,0.301,1lvm
 183,1hsb_C_A-B-C_0,A,0.358,0.190,0.190,0.358,1hsb
 184,3nim_X_F-X_3,F,0.213,0.273,0.213,0.273,3nim
 185,6fqc_E_A-B-D-E_0,A,0.297,0.147,0.147,0.297,6fqc
 186,3nin_E_B-E_1,B,0.215,0.281,0.215,0.281,3nin
 187,5m5r_D_A-C-D_0,A,0.401,0.181,0.181,0.401,5m5r
 188,1oby_Q_A-B-P-Q_0,A,0.241,0.330,0.241,0.330,1oby
 189,1oby_Q_A-B-P-Q_0,B,0.242,0.335,0.242,0.335,1oby
 190,5zw6_C_A-B-C-D_0,A,0.275,0.113,0.113,0.275,5zw6
 191,3v43_Q_A-Q_0,A,0.251,0.263,0.251,0.263,3v43
 192,5oj5_B_A-B_0,A,0.358,0.167,0.167,0.358,5oj5
 193,4ikn_B_A-B_0,A,0.392,0.225,0.225,0.392,4ikn
 194,5lb7_C_A-B-C_0,A,0.235,0.194,0.194,0.235,5lb7
 195,5lb7_C_A-B-C_0,B,0.190,0.242,0.190,0.242,5lb7
 196,4ouc_B_A-B_0,A,0.316,0.149,0.149,0.316,4ouc
 197,1w9e_S_A-B-R-S-T_0,B,0.294,0.241,0.241,0.294,1w9e
 198,2b6n_B_A-B_0,A,0.322,0.192,0.192,0.322,2b6n
 199,2d5w_C_A-C_0,A,0.375,0.107,0.107,0.375,2d5w
 200,1ok7_C_A-B-C_0,B,0.354,0.150,0.150,0.354,1ok7
 201,4wvh_C_A-C_0,A,0.298,0.104,0.104,0.298,4wvh
 202,5e6o_E_B-E_1,B,0.278,0.285,0.278,0.285,5e6o
 203,1d00_I_A-I_0,A,0.423,0.335,0.335,0.423,1d00
 204,3srj_D_A-C-D_0,A,0.318,0.162,0.162,0.318,3srj
 205,1sdz_B_A-B_0,A,0.270,0.310,0.270,0.310,1sdz
 206,4dgb_B_A-B_0,A,0.354,0.289,0.289,0.354,4dgb
 207,5t6p_E_C-D-E_1,D,0.419,0.292,0.292,0.419,5t6p
 208,5t6p_E_C-D-E_1,C,0.396,0.264,0.264,0.396,5t6p
 209,2x6m_B_A-B_0,A,0.381,0.371,0.371,0.381,2x6m
 210,4jwd_C_B-C_1,B,0.411,0.266,0.266,0.411,4jwd
 211,3zs6_B_A-B_0,A,0.372,0.126,0.126,0.372,3zs6
 212,4j44_B_A-B_0,A,0.244,0.306,0.244,0.306,4j44
 213,6cd8_C_A-C_0,A,0.661,0.503,0.503,0.661,6cd8
 214,4x2h_C_A-B-C_0,A,0.453,0.314,0.314,0.453,4x2h
 215,3g19_C_A-C_0,A,0.235,0.289,0.235,0.289,3g19
 216,3nii_B_A-B_0,A,0.214,0.278,0.214,0.278,3nii
 217,5y53_F_C-E-F_1,C,0.330,0.314,0.314,0.330,5y53
 218,5y53_F_C-E-F_1,E,0.332,0.316,0.316,0.332,5y53
 219,1b40_B_A-B_0,A,0.370,0.124,0.124,0.370,1b40
 220,3njj_B_A-B_0,A,0.324,0.343,0.324,0.343,3njj
 221,3ou3_C_A-B-C_0,A,0.288,0.326,0.288,0.326,3ou3
 222,3ou3_C_A-B-C_0,B,0.289,0.326,0.289,0.326,3ou3
 223,5fov_E_A-E_0,A,0.312,0.209,0.209,0.312,5fov
 224,4r5i_B_A-B_0,A,0.392,0.250,0.250,0.392,4r5i
 225,5kzt_C_A-C_0,A,0.363,0.125,0.125,0.363,5kzt
 226,2foo_B_A-B_0,A,0.379,0.348,0.348,0.379,2foo
 227,3rt9_B_A-B_0,F,0.317,0.117,0.117,0.317,3rt9
 228,3rt9_B_A-B_0,A,0.317,0.117,0.117,0.317,3rt9
 229,2v17_A_A-H-L_0,L,0.397,0.267,0.267,0.397,2v17
 230,2v17_A_A-H-L_0,H,0.404,0.271,0.271,0.404,2v17
 231,2g30_S_A-P-S_0,A,0.353,0.224,0.224,0.353,2g30
 232,4xal_B_A-B_0,A,0.254,0.308,0.254,0.308,4xal
 233,4apo_D_B-D_1,B,0.239,0.205,0.205,0.239,4apo
 234,4faf_D_A-B-D_0,A,0.295,0.336,0.295,0.336,4faf
 235,4faf_D_A-B-D_0,B,0.296,0.335,0.296,0.335,4faf
 236,3drh_B_A-B_0,A,0.328,0.104,0.104,0.328,3drh
 237,5nqv_G_A-C-E-G_0,C,0.269,0.199,0.199,0.269,5nqv
