index,syst,chain,tm1,tm2,min,max,pdb
 273,4j45_B_A-B_0,A,0.159,0.309,0.159,0.309,4j45
 274,4z8j_B_A-B_0,A,0.174,0.312,0.174,0.312,4z8j
 275,2r9q_X_A-C-X_1,C,0.340,0.252,0.252,0.340,2r9q
 276,4c2c_B_A-B-C_0,A,0.266,0.161,0.161,0.266,4c2c
 277,2ot0_G_A-B-C-D-E-F-G-H_0,C,0.252,0.179,0.179,0.252,2ot0
 278,5t6p_E_C-D-E_1,D,0.558,0.574,0.558,0.574,5t6p
 279,5t6p_E_C-D-E_1,C,0.795,0.789,0.789,0.795,5t6p
 280,4ouc_B_A-B_0,A,0.275,0.206,0.206,0.275,4ouc
 281,1s2k_B_A-B_0,A,0.275,0.287,0.275,0.287,1s2k
 282,5uw3_E_A-E_0,A,0.344,0.146,0.146,0.344,5uw3
 283,1b32_B_A-B_0,A,0.365,0.186,0.186,0.365,1b32
 284,1d0a_G_A-B-C-G-H-I_0,A,0.276,0.334,0.276,0.334,1d0a
 285,1str_M_B-D-M-P_0,C,0.267,0.397,0.267,0.397,1str
 286,1str_M_B-D-M-P_0,B,0.258,0.374,0.258,0.374,1str
 287,1rzx_B_A-B_0,A,0.187,0.319,0.187,0.319,1rzx
 288,2y1l_G_A-B-C-D-E-F-G-H_0,D,0.183,0.341,0.183,0.341,2y1l
 289,2y1l_G_A-B-C-D-E-F-G-H_0,C,0.217,0.278,0.217,0.278,2y1l
 290,4j09_B_A-B_0,A,0.259,0.227,0.227,0.259,4j09
 291,4j09_B_A-B_0,C,0.259,0.227,0.227,0.259,4j09
 292,3psl_D_B-D_1,B,0.241,0.192,0.192,0.241,3psl
 293,1w9e_S_A-B-R-S-T_0,B,0.228,0.269,0.228,0.269,1w9e
 294,3tcg_I_A-I_0,A,0.360,0.183,0.183,0.360,3tcg
 295,1b05_B_A-B_0,A,0.366,0.186,0.186,0.366,1b05
 296,3nik_X_D-X_2,D,0.189,0.363,0.189,0.363,3nik
 297,4pxm_D_A-B-C-D_0,B,0.205,0.198,0.198,0.205,4pxm
 298,5fch_C_A-B-C_0,A,0.429,0.274,0.274,0.429,5fch
 299,5fch_C_A-B-C_0,B,0.436,0.280,0.280,0.436,5fch
